0.0517	0.655	0.42000
0.0539	0.625	0.48100
0.0564	0.611	0.56000
0.0590	0.617	0.64700
0.0620	0.635	0.74300
0.0653	0.676	0.84100
0.0689	0.735	0.93600
0.0729	0.810	1.03000
0.0775	0.902	1.11000
0.0827	1.001	1.18000
0.0886	1.111	1.26000
0.0954	1.247	1.35000
0.1033	1.417	1.43000
0.1127	1.657	1.52000
0.1181	1.827	1.53000
0.1240	2.000	1.49000
0.1305	2.162	1.44000
0.1378	2.326	1.32000
0.1459	2.492	1.16000
0.1550	2.651	0.96200
0.1600	2.711	0.86600
0.1653	2.753	0.75000
0.1710	2.766	0.61200
0.1771	2.752	0.49300
0.1837	2.724	0.38000
0.1907	2.682	0.27300
0.1984	2.620	0.17400
0.2066	2.541	0.10200
0.2156	2.464	0.05700
0.2254	2.393	0.02900
0.2362	2.331	0.01100
0.2480	2.278	0.00490
0.2610	2.234	0.00120
0.2755	2.198	0.00022
0.2917	2.167	0.00010
0.3100	2.141	0.00010
0.3542	2.099	0.00010
0.4133	2.066	0.00010
0.4959	2.041	0.00010
0.6199	2.022	0.00010
0.8266	2.008	0.00010
1.2400	1.998	0.00010

